0    0.0724078862218252    1.45384622929189e-10    1.95449434541586e-09    1.73194641883506e-11    0.250000000001477    1.97918003674256e-09    0.32240789031968
0.1    0.0669618617791909    1.36735534299611e-10    2.54946927701662e-05    1.56614164426331e-06    0.212986646824597    0.00018648672369266    0.28016205629863
0.2    411.970139142294    1.90602862678187    700.026037474506    4.25035822912712    0.105473432391823    681.316759412089    1799.57479631719
0.3    -nan    -nan    -nan    -nan    -nan    -nan    -nan
0.4    -nan    -nan    -nan    -nan    -nan    -nan    -nan
0.5    -nan    -nan    -nan    -nan    -nan    -nan    -nan
0.6    -nan    -nan    -nan    -nan    -nan    -nan    -nan
0.7    -nan    -nan    -nan    -nan    -nan    -nan    -nan
0.8    -nan    -nan    -nan    -nan    -nan    -nan    -nan
0.900000000000001    -nan    -nan    -nan    -nan    -nan    -nan    -nan
1    -nan    -nan    -nan    -nan    -nan    -nan    -nan
1.1    -nan    -nan    -nan    -nan    -nan    -nan    -nan
1.2    -nan    -nan    -nan    -nan    -nan    -nan    -nan
1.3    -nan    -nan    -nan    -nan    -nan    -nan    -nan
1.4    -nan    -nan    -nan    -nan    -nan    -nan    -nan
1.5    -nan    -nan    -nan    -nan    -nan    -nan    -nan
1.6    -nan    -nan    -nan    -nan    -nan    -nan    -nan
1.7    -nan    -nan    -nan    -nan    -nan    -nan    -nan
1.8    -nan    -nan    -nan    -nan    -nan    -nan    -nan
1.9    -nan    -nan    -nan    -nan    -nan    -nan    -nan
2    -nan    -nan    -nan    -nan    -nan    -nan    -nan
2.1    -nan    -nan    -nan    -nan    -nan    -nan    -nan
2.2    -nan    -nan    -nan    -nan    -nan    -nan    -nan
2.29999999999999    -nan    -nan    -nan    -nan    -nan    -nan    -nan
