0    5.55259692671642e-17    0.999733133232937    0.999733133232937
0.1    -0.000379418659516162    1.30321514093912    1.30420444458306
0.2    -0.831086072976221    6218.91298445595    67415.1927880123
0.3    -nan    -nan    -nan
0.4    -nan    -nan    -nan
0.5    -nan    -nan    -nan
0.6    -nan    -nan    -nan
0.7    -nan    -nan    -nan
0.8    -nan    -nan    -nan
0.900000000000001    -nan    -nan    -nan
1    -nan    -nan    -nan
1.1    -nan    -nan    -nan
1.2    -nan    -nan    -nan
1.3    -nan    -nan    -nan
1.4    -nan    -nan    -nan
1.5    -nan    -nan    -nan
1.6    -nan    -nan    -nan
1.7    -nan    -nan    -nan
1.8    -nan    -nan    -nan
1.9    -nan    -nan    -nan
2    -nan    -nan    -nan
2.1    -nan    -nan    -nan
2.2    -nan    -nan    -nan
2.29999999999999    -nan    -nan    -nan
