0    1    -0.380546675183186    1.000000000001    0.14481577244365    9.94924544252372e-07    2.12290608995103e-05
0.1    0.960733848261241    -0.405082275930798    0.92300952719589    0.164091650579367    1.0183065869373e-06    1.74954704278371e-05
0.2    0.751836910425083    -43.9248381688583    0.603945884085223    2863.85127961682    0.196690478182572    30.5689363808495
0.3    -nan    -nan    -nan    -nan    0    0
0.4    -nan    -nan    -nan    -nan    0    0
0.5    -nan    -nan    -nan    -nan    0    0
0.6    -nan    -nan    -nan    -nan    0    0
0.7    -nan    -nan    -nan    -nan    0    0
0.8    -nan    -nan    -nan    -nan    0    0
0.900000000000001    -nan    -nan    -nan    -nan    0    0
1    -nan    -nan    -nan    -nan    0    0
1.1    -nan    -nan    -nan    -nan    0    0
1.2    -nan    -nan    -nan    -nan    0    0
1.3    -nan    -nan    -nan    -nan    0    0
1.4    -nan    -nan    -nan    -nan    0    0
1.5    -nan    -nan    -nan    -nan    0    0
1.6    -nan    -nan    -nan    -nan    0    0
1.7    -nan    -nan    -nan    -nan    0    0
1.8    -nan    -nan    -nan    -nan    0    0
1.9    -nan    -nan    -nan    -nan    0    0
2    -nan    -nan    -nan    -nan    0    0
2.1    -nan    -nan    -nan    -nan    0    0
2.2    -nan    -nan    -nan    -nan    0    0
2.29999999999999    -nan    -nan    -nan    -nan    0    0
