0    -8.13852018698413e-25    -3.38627063263896e-24    1.12100530548121e-14    5.21341070002005e-10    1.05877538008834e-07    2.28328944727121e-05
0.1    -6.18038022112305e-10    2.79136298946941e-07    2.50270275527898e-05    0.591482316134172    0.00500270202518493    0.769078875105859
0.2    -nan    -nan    -nan    -nan    0    0
0.3    -nan    -nan    -nan    -nan    0    0
0.4    -nan    -nan    -nan    -nan    0    0
0.5    -nan    -nan    -nan    -nan    0    0
0.6    -nan    -nan    -nan    -nan    0    0
0.7    -nan    -nan    -nan    -nan    0    0
0.8    -nan    -nan    -nan    -nan    0    0
0.900000000000001    -nan    -nan    -nan    -nan    0    0
1    -nan    -nan    -nan    -nan    0    0
1.1    -nan    -nan    -nan    -nan    0    0
1.2    -nan    -nan    -nan    -nan    0    0
1.3    -nan    -nan    -nan    -nan    0    0
1.4    -nan    -nan    -nan    -nan    0    0
1.5    -nan    -nan    -nan    -nan    0    0
1.6    -nan    -nan    -nan    -nan    0    0
1.7    -nan    -nan    -nan    -nan    0    0
1.8    -nan    -nan    -nan    -nan    0    0
1.9    -nan    -nan    -nan    -nan    0    0
2    -nan    -nan    -nan    -nan    0    0
2.1    -nan    -nan    -nan    -nan    0    0
2.2    -nan    -nan    -nan    -nan    0    0
2.29999999999999    -nan    -nan    -nan    -nan    0    0
2.39999999999999    -nan    -nan    -nan    -nan    0    0
2.49999999999999    -nan    -nan    -nan    -nan    0    0
2.59999999999999    -nan    -nan    -nan    -nan    0    0
2.69999999999999    -nan    -nan    -nan    -nan    0    0
2.79999999999998    -nan    -nan    -nan    -nan    0    0
2.89999999999998    -nan    -nan    -nan    -nan    0    0
2.99999999999998    -nan    -nan    -nan    -nan    0    0
3.09999999999998    -nan    -nan    -nan    -nan    0    0
3.19999999999998    -nan    -nan    -nan    -nan    0    0
3.29999999999997    -nan    -nan    -nan    -nan    0    0
3.39999999999997    -nan    -nan    -nan    -nan    0    0
3.49999999999997    -nan    -nan    -nan    -nan    0    0
3.59999999999997    -nan    -nan    -nan    -nan    0    0
3.69999999999997    -nan    -nan    -nan    -nan    0    0
3.79999999999996    -nan    -nan    -nan    -nan    0    0
3.89999999999996    -nan    -nan    -nan    -nan    0    0
3.99999999999996    -nan    -nan    -nan    -nan    0    0
4.09999999999996    -nan    -nan    -nan    -nan    0    0
4.19999999999995    -nan    -nan    -nan    -nan    0    0
4.29999999999995    -nan    -nan    -nan    -nan    0    0
4.39999999999995    -nan    -nan    -nan    -nan    0    0
4.49999999999995    -nan    -nan    -nan    -nan    0    0
