0    16298.8608434388    15768.9869162433    239475.106696806    1317.3024035004    100.474711303479    51837802.7018516    52110763.4334229
0.1    -nan    -nan    -nan    -nan    -nan    -nan    -nan
0.2    -nan    -nan    -nan    -nan    -nan    -nan    -nan
0.3    -nan    -nan    -nan    -nan    -nan    -nan    -nan
0.4    -nan    -nan    -nan    -nan    -nan    -nan    -nan
0.5    -nan    -nan    -nan    -nan    -nan    -nan    -nan
0.6    -nan    -nan    -nan    -nan    -nan    -nan    -nan
0.7    -nan    -nan    -nan    -nan    -nan    -nan    -nan
0.8    -nan    -nan    -nan    -nan    -nan    -nan    -nan
0.900000000000001    -nan    -nan    -nan    -nan    -nan    -nan    -nan
1    -nan    -nan    -nan    -nan    -nan    -nan    -nan
1.1    -nan    -nan    -nan    -nan    -nan    -nan    -nan
1.2    -nan    -nan    -nan    -nan    -nan    -nan    -nan
1.3    -nan    -nan    -nan    -nan    -nan    -nan    -nan
1.4    -nan    -nan    -nan    -nan    -nan    -nan    -nan
1.5    -nan    -nan    -nan    -nan    -nan    -nan    -nan
1.6    -nan    -nan    -nan    -nan    -nan    -nan    -nan
1.7    -nan    -nan    -nan    -nan    -nan    -nan    -nan
1.8    -nan    -nan    -nan    -nan    -nan    -nan    -nan
1.9    -nan    -nan    -nan    -nan    -nan    -nan    -nan
2    -nan    -nan    -nan    -nan    -nan    -nan    -nan
2.1    -nan    -nan    -nan    -nan    -nan    -nan    -nan
2.2    -nan    -nan    -nan    -nan    -nan    -nan    -nan
2.29999999999999    -nan    -nan    -nan    -nan    -nan    -nan    -nan
2.39999999999999    -nan    -nan    -nan    -nan    -nan    -nan    -nan
2.49999999999999    -nan    -nan    -nan    -nan    -nan    -nan    -nan
2.59999999999999    -nan    -nan    -nan    -nan    -nan    -nan    -nan
2.69999999999999    -nan    -nan    -nan    -nan    -nan    -nan    -nan
2.79999999999998    -nan    -nan    -nan    -nan    -nan    -nan    -nan
