0    1    5894.77547153567    5894.77547153567
0.1    -nan    -nan    -nan
0.2    -nan    -nan    -nan
0.3    -nan    -nan    -nan
0.4    -nan    -nan    -nan
0.5    -nan    -nan    -nan
0.6    -nan    -nan    -nan
0.7    -nan    -nan    -nan
0.8    -nan    -nan    -nan
0.900000000000001    -nan    -nan    -nan
1    -nan    -nan    -nan
1.1    -nan    -nan    -nan
1.2    -nan    -nan    -nan
1.3    -nan    -nan    -nan
1.4    -nan    -nan    -nan
1.5    -nan    -nan    -nan
1.6    -nan    -nan    -nan
1.7    -nan    -nan    -nan
1.8    -nan    -nan    -nan
1.9    -nan    -nan    -nan
2    -nan    -nan    -nan
2.1    -nan    -nan    -nan
2.2    -nan    -nan    -nan
2.29999999999999    -nan    -nan    -nan
2.39999999999999    -nan    -nan    -nan
2.49999999999999    -nan    -nan    -nan
2.59999999999999    -nan    -nan    -nan
2.69999999999999    -nan    -nan    -nan
2.79999999999998    -nan    -nan    -nan
