0    0.940200000000063    -0.535700000000044    0.883976052611971    0.287036829419779    0.000112302506678985    0.00789553163075618
0.1    -nan    -nan    -nan    -nan    0    0
0.2    -nan    -nan    -nan    -nan    0    0
0.3    -nan    -nan    -nan    -nan    0    0
0.4    -nan    -nan    -nan    -nan    0    0
0.5    -nan    -nan    -nan    -nan    0    0
0.6    -nan    -nan    -nan    -nan    0    0
0.7    -nan    -nan    -nan    -nan    0    0
0.8    -nan    -nan    -nan    -nan    0    0
0.900000000000001    -nan    -nan    -nan    -nan    0    0
1    -nan    -nan    -nan    -nan    0    0
1.1    -nan    -nan    -nan    -nan    0    0
1.2    -nan    -nan    -nan    -nan    0    0
1.3    -nan    -nan    -nan    -nan    0    0
1.4    -nan    -nan    -nan    -nan    0    0
1.5    -nan    -nan    -nan    -nan    0    0
1.6    -nan    -nan    -nan    -nan    0    0
1.7    -nan    -nan    -nan    -nan    0    0
1.8    -nan    -nan    -nan    -nan    0    0
1.9    -nan    -nan    -nan    -nan    0    0
2    -nan    -nan    -nan    -nan    0    0
2.1    -nan    -nan    -nan    -nan    0    0
2.2    -nan    -nan    -nan    -nan    0    0
2.29999999999999    -nan    -nan    -nan    -nan    0    0
2.39999999999999    -nan    -nan    -nan    -nan    0    0
2.49999999999999    -nan    -nan    -nan    -nan    0    0
2.59999999999999    -nan    -nan    -nan    -nan    0    0
2.69999999999999    -nan    -nan    -nan    -nan    0    0
2.79999999999998    -nan    -nan    -nan    -nan    0    0
2.89999999999998    -nan    -nan    -nan    -nan    0    0
2.99999999999998    -nan    -nan    -nan    -nan    0    0
3.09999999999998    -nan    -nan    -nan    -nan    0    0
3.19999999999998    -nan    -nan    -nan    -nan    0    0
3.29999999999997    -nan    -nan    -nan    -nan    0    0
3.39999999999997    -nan    -nan    -nan    -nan    0    0
3.49999999999997    -nan    -nan    -nan    -nan    0    0
3.59999999999997    -nan    -nan    -nan    -nan    0    0
