0.75 0.0001010857784284434 5.507119283409697e-05 18
1.5 0.0005507987912925298 0.001059535744853542 62
2.25 0.001215513626286628 0.003261283229125194 98
3 0.002397884063318073 0.01963092181784075 210
3.75 0.004136604172914924 0.05289791369557515 350
4.5 0.004618859428813285 0.103672759240663 450
5.25 0.006801496105888893 0.1619024628904525 602
6 0.008077739629872568 0.2646757610798998 762
6.75 0.01290676151976961 0.5330519263741429 1142
7.5 0.01349967107546764 0.7720097256485239 1250
8.25 0.0159836401639668 1.021151524466191 1458
9 0.02081961964360922 1.677035234062511 1814
9.75 0.02499840919850141 2.224085700103896 2178
10.5 0.02826969589974878 2.969878976780837 2498
11.25 0.03129852945915337 3.657774895221877 2622
12 0.03719943003733477 5.608199406267992 3338
12.75 0.04102485106364025 6.781185109208618 3722
13.5 0.04904291570536056 8.275367993907164 4170
14.25 0.04583487620985558 9.820305118078885 4358
15 0.05781212509119781 12.58108576295442 5034
15.75 0.06600508251770122 15.36029913726076 5714
16.5 0.06712636160011327 18.10745137988681 5982
17.25 0.0757401975057749 21.47038864812596 6602
18 0.07923081421471806 25.72697670698179 7130
18.75 0.09188967999664219 31.67838553978861 8034
19.5 0.09934438793953299 36.3725964558291 8606
20.25 0.1023405082630906 40.80866750975339 9066
21 0.1155186902952572 48.13577996971885 9962
21.75 0.1159497219783185 54.19149661863956 10550
22.5 0.1297690603052905 64.10707377576266 11226
23.25 0.1401022458693225 72.79259753963315 12146
24 0.1386121668898026 79.60140205386992 12303
24.75 0.1436441341238059 84.43041994555708 12584
25.5 0.1404785332469076 88.37721477667162 12120
26.25 0.1253689682241805 84.41979203802407 11180
27 0.1256353436841646 89.8590402149228 11096
27.75 0.112569775050046 84.4316125366249 10056
28.5 0.1126959073732409 86.26279646810357 9716
29.25 0.09545785367622119 80.32328383489018 8604
30 0.09356115495649894 79.40920042723032 8060
30.75 0.08137666313924038 75.21366570279137 7320
31.5 0.07111525082863163 68.18175922861478 6356
32.25 0.06111061144424348 58.92182710811569 5348
33 0.04729759897769815 52.45434026937227 4308
33.75 0.03878857122466754 41.8951758491353 3563
34.5 0.02895785940785004 30.24460427262875 2448
35.25 0.02016388207779365 24.45705397661476 1868
36 0.01507643475046659 17.74753963286081 1358
36.75 0.01226494019570403 15.39687913631017 1062
37.5 0.008492761035098252 11.45387525552572 776
38.25 0.004043536494114733 6.211674787562407 432
39 0.002114144002680912 3.198069509175753 200
39.75 0.001529691255973175 2.431485975045228 168
40.5 0.000478302087006065 0.397701485961684 56
41.25 4.433682064492191e-05 0.03878370026438187 7


0.75 -nan -nan 18
1.5 -nan -nan 62
2.25 -nan -nan 98
3 -nan -nan 210
3.75 -nan -nan 350
4.5 -nan -nan 450
5.25 -nan -nan 602
6 -nan -nan 762
6.75 -nan -nan 1142
7.5 -nan -nan 1250
8.25 -nan -nan 1458
9 -nan -nan 1814
9.75 -nan -nan 2178
10.5 -nan -nan 2498
11.25 -nan -nan 2622
12 -nan -nan 3338
12.75 -nan -nan 3722
13.5 -nan -nan 4170
14.25 -nan -nan 4358
15 -nan -nan 5034
15.75 -nan -nan 5714
16.5 -nan -nan 5982
17.25 -nan -nan 6602
18 -nan -nan 7130
18.75 -nan -nan 8034
19.5 -nan -nan 8606
20.25 -nan -nan 9066
21 -nan -nan 9962
21.75 -nan -nan 10550
22.5 -nan -nan 11226
23.25 -nan -nan 12146
24 -nan -nan 12303
24.75 -nan -nan 12584
25.5 -nan -nan 12120
