0.75 1.990672687684994 0.2018128155170328 18
1.5 5.127902455243047 12.16116474332181 62
2.25 8.390831914179307 41.53413850641347 98
3 27.30775576705137 178.7506087324361 210
3.75 41.957883294841 458.748918434086 350
4.5 54.30480750039186 1119.766103352707 450
5.25 68.99963608382842 1597.687723449561 602
6 85.65546635062968 2805.600200382041 762
6.75 128.5980020981347 5548.910718235356 1142
7.5 139.9560385211593 7778.176739639884 1250
8.25 160.7357487784265 11111.11592539773 1458
9 204.6381120275141 16808.46087744102 1814
9.75 254.9089740787368 22015.15900894098 2178
10.5 289.9894169935041 30908.46678964653 2498
11.25 295.8540955891439 35381.029797567 2622
12 366.8624837904467 53789.04051781932 3338
12.75 425.756173063448 66883.99560259072 3722
13.5 470.9118216901928 82540.66545213254 4170
14.25 479.5859151658841 97871.48775209767 4358
15 579.295533307267 126199.0990428531 5034
15.75 644.0390284280269 154039.9819778547 5714
16.5 673.297888578622 176229.4140625085 5982
17.25 752.656569813894 216808.4134151183 6602
18 785.7873775074556 258225.3797664912 7130
18.75 929.618032188345 325741.8440723285 8034
19.5 956.8494200966503 364841.6120640464 8606
20.25 1033.24488725998 415955.9696951614 9066
21 1137.475780052867 486296.0296989213 9962
21.75 1192.873339848186 551669.9490860802 10550
22.5 1279.568607675983 637721.1191470667 11226
23.25 1370.777117651286 729371.8655091748 12146
24 1401.442068870545 790569.658343244 12303
24.75 1411.255382332052 864663.2889617933 12584
25.5 1358.931158234846 871021.6383012525 12120
26.25 1271.767807355972 843978.3669136333 11180
27 1255.379787380563 876033.0532725237 11096
27.75 1156.180492435146 837670.1974107515 10056
28.5 1116.076067548416 850296.4803680684 9716
29.25 969.7883942829934 807862.1237923547 8604
30 921.1568199717856 789961.8616974588 8060
30.75 822.7493395150819 757314.0404150973 7320
31.5 700.6029395358722 676986.0340579428 6356
32.25 605.2141850075949 606232.4179228945 5348
33 487.8753028047841 495769.085902302 4308
33.75 406.1442368210766 429908.8594197215 3563
34.5 276.89512018802 302389.4855642655 2448
35.25 202.5203222649873 242580.1741414203 1868
36 144.9645963155379 174231.714492988 1358
36.75 123.8559512102087 145135.0273656871 1062
37.5 85.1548863005174 120140.9726985711 776
38.25 48.55543417042502 55492.32015562894 432
39 25.07414357813569 29210.66401347996 200
39.75 19.23687837660043 21787.42953044185 168
40.5 5.710557460715227 8602.446242639093 56
41.25 0.638927812219918 560.9528034026243 7


0.75 -nan -nan 18
1.5 -nan -nan 62
2.25 -nan -nan 98
3 -nan -nan 210
3.75 -nan -nan 350
4.5 -nan -nan 450
5.25 -nan -nan 602
6 -nan -nan 762
6.75 -nan -nan 1142
7.5 -nan -nan 1250
8.25 -nan -nan 1458
9 -nan -nan 1814
9.75 -nan -nan 2178
10.5 -nan -nan 2498
11.25 -nan -nan 2622
12 -nan -nan 3338
12.75 -nan -nan 3722
13.5 -nan -nan 4170
14.25 -nan -nan 4358
15 -nan -nan 5034
15.75 -nan -nan 5714
16.5 -nan -nan 5982
17.25 -nan -nan 6602
18 -nan -nan 7130
18.75 -nan -nan 8034
19.5 -nan -nan 8606
20.25 -nan -nan 9066
21 -nan -nan 9962
21.75 -nan -nan 10550
22.5 -nan -nan 11226
23.25 -nan -nan 12146
24 -nan -nan 12303
24.75 -nan -nan 12584
25.5 -nan -nan 12120
26.25 -nan -nan 11180
27 -nan -nan 11096
27.75 -nan -nan 10056
28.5 -nan -nan 9716
