0.75 0.0008060926884884054 0.001298171619814578 18
1.5 0.007446772201620731 0.01142754334174571 62
2.25 0.009631971177662072 0.03124845428669938 98
3 0.0251376733340331 0.1702531049612786 210
3.75 0.03442475362828139 0.545280215564899 350
4.5 0.05162051218845273 0.9318573353931948 450
5.25 0.06186507147443236 1.805609784333995 602
6 0.08799359320588634 3.019441349079536 762
6.75 0.1246277932345895 5.950084911799546 1142
7.5 0.138590123939001 7.379946668255681 1250
8.25 0.1756645708159997 10.44121530354889 1458
9 0.2004649461282221 15.77834608789008 1814
9.75 0.2398255905795988 22.36931806615245 2178
10.5 0.271718092075269 29.78633810650593 2498
11.25 0.2908540179431525 38.58438569216808 2622
12 0.3890593856139764 53.46805620941887 3338
12.75 0.4243053451920215 67.54718391101231 3722
13.5 0.4748387904679207 84.7803953787146 4170
14.25 0.5053092185582223 99.28448110949552 4358
15 0.5598415195704899 126.938231352525 5034
15.75 0.6671298934799391 161.5714039466795 5714
16.5 0.6698121612271029 178.2608101608138 5982
17.25 0.7535967769212109 215.591291309425 6602
18 0.8010958534534047 250.4414837662228 7130
18.75 0.9343709108296233 318.2382064462952 8034
19.5 0.9615390055393254 363.4689318089868 8606
20.25 1.020555123348538 418.3807563123517 9066
21 1.141239553646771 488.2323171105723 9962
21.75 1.17250516703516 549.0617984187446 10550
22.5 1.249907059429714 625.339368554551 11226
23.25 1.372829707283421 727.3929684846955 12146
24 1.434237920052068 797.4759325990394 12303
24.75 1.444961835062104 848.3088844167105 12584
25.5 1.355640188300601 856.1283380449571 12120
26.25 1.246509865007761 837.8408645634817 11180
27 1.248882263195553 910.1545451082819 11096
27.75 1.150081392529278 855.6360456166468 10056
28.5 1.096987443188255 873.5605702520612 9716
29.25 0.9715807350212881 808.9781101450513 8604
30 0.9192284555804718 798.4496185089357 8060
30.75 0.8212961084925081 763.0470947078069 7320
31.5 0.7019925048988438 670.8736068432318 6356
32.25 0.611415741013963 571.8591824112008 5348
33 0.4829046329349506 503.9043179624513 4308
33.75 0.3996651254731254 433.3616320951733 3563
34.5 0.2787523569982185 291.7767572835083 2448
35.25 0.2138243394384976 230.0148424335412 1868
36 0.1507860357252458 181.308916698189 1358
36.75 0.1089945958381883 148.4752035178061 1062
37.5 0.08337691552232684 112.7507907165742 776
38.25 0.04932933458847936 69.44983573131547 432
39 0.02768374076009666 37.83786282993235 200
39.75 0.01701453446460638 20.01814330108337 168
