0.75 0.4092216489508279 22.50915509161968 3283.820993180291 18
1.5 2.909798715359074 130.1984683401754 3396.534413276822 62
2.25 7.126086215131491 374.127812980288 3503.862551996602 98
3 18.64382919686038 1044.553761917339 3210.075463021932 210
3.75 33.99997053249082 3115.084005972233 2808.22867698459 350
4.5 54.13858699292247 4047.403724604392 2898.338116728168 450
5.25 85.49123094668172 6582.937914931952 2932.008288431531 602
6 124.3281725800764 11394.39832636271 2946.334294360001 762
6.75 175.3798321483314 17614.43017157731 2465.465251051287 1142
7.5 224.6596223741673 25225.9084211617 2596.368855993576 1250
8.25 265.5218927378003 32043.83715550859 2390.674938603995 1458
9 313.1243931852365 47219.25801957554 2076.333541075671 1814
9.75 411.7817924254533 65264.43344357843 2098.964808214408 2178
10.5 503.4553755692136 82992.42017918671 2076.509998640906 2498
11.25 511.4439232582398 98887.29489959647 1875.591220823499 2622
12 622.0153959267179 131809.730027268 1756.49262703983 3191
12.75 665.3939783167468 135965.2356603068 1853.054307928875 3044
13.5 598.1650217944976 137016.9202875903 1748.925770172438 2736
14.25 487.0994505561326 122143.2868400042 1621.979501514691 2276
15 460.0604647761734 117952.9260521164 1641.641033446548 2016
15.75 364.146502724361 101540.9719989759 1520.705980509107 1640
16.5 246.2813947815188 75025.70766580326 1524.137081810817 1056
17.25 151.3664435137217 49492.40388870336 1384.110201406038 683
18 86.66372256403754 25958.23447958141 1481.017508837158 350
18.75 46.50770086917332 17198.79273719386 1389.88182091791 192
19.5 10.41409484793595 4293.753397237975 1306.19603006834 44
20.25 5.608350686781948 1822.011893456668 1189.397574861262 25


0.75 nan -nan -nan 18
1.5 nan -nan -nan 62
2.25 nan -nan -nan 98
3 nan -nan -nan 210
3.75 nan -nan -nan 350
4.5 nan -nan -nan 450
5.25 nan -nan -nan 602
6 nan -nan -nan 762
6.75 nan -nan -nan 1142
7.5 nan -nan -nan 1250
8.25 nan -nan -nan 1458
9 nan -nan -nan 1814
9.75 nan -nan -nan 2178
10.5 nan -nan -nan 2498
11.25 nan -nan -nan 2622
12 nan -nan -nan 3191
12.75 nan -nan -nan 3044
13.5 nan -nan -nan 2736
