f0_Hz,Omega_GW_h2
1.260700e+03,1.262200e-01
1.684300e+03,9.744600e-02
2.419100e+03,4.484200e-02
3.474400e+03,6.610400e-02
4.990100e+03,4.484200e-02
1.029400e+04,1.634900e-01
1.189800e+04,4.484200e-02
1.837200e+04,5.808200e-02
2.282900e+04,7.523200e-02
3.278900e+04,4.484200e-02
4.380400e+04,7.523200e-02
5.851900e+04,9.744600e-02
7.817700e+04,7.523200e-02
1.122800e+05,8.562200e-02
1.612700e+05,7.523200e-02
2.154400e+05,1.080700e-02
3.094300e+05,2.964200e-03
4.133800e+05,1.053100e-03
5.937200e+05,2.888500e-04
7.931800e+05,7.922800e-05
1.139200e+06,2.173100e-05
1.521900e+06,7.720400e-06
2.185900e+06,2.117600e-06
2.920200e+06,6.610400e-07
3.901200e+06,1.593100e-07
5.603100e+06,4.369700e-08
7.485400e+06,1.552400e-08
1.075100e+07,2.888500e-09
1.436300e+07,9.016900e-10
2.062800e+07,1.474100e-10
2.755800e+07,2.742900e-11
4.255300e+07,3.041900e-12
5.287700e+07,8.562200e-12
8.164900e+07,1.109000e-11
9.437200e+07,1.436500e-11
1.260700e+08,1.634900e-11
1.946700e+08,3.121600e-11
2.600700e+08,2.173100e-10
3.735300e+08,3.741400e-09
4.990100e+08,5.374500e-10
7.167100e+08,1.329200e-09
1.029400e+09,4.258100e-09
8.527400e+10,5.374500e-05
9.167800e+10,4.149300e-05
1.224800e+11,2.473200e-05
1.759100e+11,4.149300e-05
2.350000e+11,2.473200e-05
